pdf,page,category,confidence,text
44149 - VS 22 LOW IT-EN 1.pdf,17,general_information,0.2,"SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 17 2.3 Avvertenze di sicurezza per l'uso e il funzionamento · Affidare l'utilizzo della macchina soltanto a personale qualificato, opportunamente formato e addestrato. · Utilizzare la macchina soltanto in presenza di condizioni psico-fisiche idonee. Condizioni psico-fisiche non idonee possono essere la causa di danni (anche seri) a cose o persone. · Non assumere sostanze (farmaci, alcolici ecc.) che possono alterare o limitare le normali condizioni psico-fisiche. · Non utilizzare la macchina senza aver effettuato gli interventi di manutenzione previsti. · Simulare alcune manovre di prova per individuare i comandi e acquisire dimestichezza con le funzionalità della macchina. · Arrestare immediatamente la macchina in caso di avarie o anomalie di funzionamento. · Non utilizzare e/o continuare ad utilizzare la macchina in presenza di irregolarità o anomalie di funzionamento. · Segnalare immediatamente eventuali anomalie"
44149 - VS 22 LOW IT-EN 1.pdf,17,general_information,0.2,"o irregolarità nel funzionamento. · Segnalare immediatamente eventuali anomalie ai dispositivi e ai sistemi di sicurezza installati. · Utilizzare la macchina soltanto con le protezioni e i dispositivi di sicurezza integri, correttamente installati ed efficienti. · Non adottare comportamenti e/o modalità operative che possono compromettere il livello di sicurezza. · Utilizzare la macchina soltanto per gli usi previsti dal costruttore. · Non avvicinare le mani o altri parti del corpo a organi in movimento o a elementi in tensione. · Non arrampicarsi sulla macchina e non utilizzare parti o componenti per improvvisare piattaforme o passerelle temporanee. · Non utilizzare come punto di presa o appiglio parti o componenti non appositamente predisposte a tale scopo (cavi, tubi flessibili ecc.). · Indossare dispositivi di protezione individuale adeguati al tipo di attività da svolgere. · Indossare sempre un abbigliamento adeguato e conforme a"
44149 - VS 22 LOW IT-EN 1.pdf,17,general_information,0.2,"quanto previsto dalle norme di sicurezza sul lavoro. · Non indossare indumenti o accessori (bracciali, orologi ecc.) che possano impigliarsi in parti o organi in movimento. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,18,general_information,0.2,"SICUREZZA 18 Rev.: 1 Istruzioni originali in lingua italiana 2.4 Avvertenze di sicurezza per le manutenzioni · Affidare l'esecuzione degli interventi soltanto a personale tecnico qualificato e autorizzato. · Effettuare gli interventi con macchina arrestata e isolata dalle fonti di alimentazione. · Disattivare l’alimentazione elettrica a monte in caso di interventi all’interno della macchina. · Indossare dispositivi di protezione individuale adeguati al tipo di attività da svolgere. · Informare tutto il personale operativo prima di inizia qualsiasi intervento. · Segnalare e delimitare le zone di intervento per evitare l'accesso da parte di personale non autorizzato. · Applicare le apposite indicazioni per segnalare ""Manutenzione in corso"". · Mantenere le zone di intervento accessibili e libere da ostacoli (utensili, materiali ecc.). · Bloccare in modo adeguato tutti i componenti che potrebbero muoversi in modo improvviso e pericoloso durante l’esecuzione degli interventi. ·"
44149 - VS 22 LOW IT-EN 1.pdf,18,general_information,0.2,"Smontare tutti i componenti che non possono essere bloccati in modo sicuro. · Sostituire i componenti usurati o danneggiati soltanto con ricambi originali. L'uso di ricambi non originali può alterare le prestazioni funzionali e il livello di sicurezza della macchina. · Non lubrificare organi in movimento a esclusione degli organi espressamente segnalati. · Utilizzare soltanto i lubrificanti (oli, grassi) consigliati. · Non mescolare lubrificanti di marche e/o con caratteristiche diverse. · Non disperdere nell'ambiente fluidi o materiali inquinanti. · Smaltire i fluidi e i materiali inquinanti nel rispetto delle leggi vigenti nel paese di installazione e utilizzo della macchina. · Affidare lo smaltimento dei fluidi e dei materiali inquinanti (lubrificanti esausti, batterie ecc.) a centri specializzati e autorizzati. · Consultare la documentazione specifica dei prodotti utilizzati (oli, lubrificanti ecc.) per informazioni sulle modalità di uso, stoccaggio e smaltimento. · Utilizzare"
44149 - VS 22 LOW IT-EN 1.pdf,18,general_information,0.2,"contenitori conformi e di capacità adeguata per scaricare i fluidi dalla macchina (lubrificante, olio motore ecc.) durante gli interventi di sostituzione/cambio. · Conservare i contenitori con i fluidi da smaltire in un luogo protetto, al riparo dagli agenti atmosferici e dal rischio di incendio e/o esplosione. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,19,general_information,0.2,"SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 19 2.5 Formazione del personale L’operatore autorizzato a interagire con la macchina deve essere adeguatamente formato e addestrato. La formazione e l’addestramento sono fondamentali per trasferire le conoscenze, le competenze e le abilità necessarie per: · Utilizzare la macchina in modo corretto e in condizioni di sicurezza. · Verificare se ci sono le condizioni per poter operare in sicurezza e senza rischi. · Seguire le disposizioni e le procedure previste nel piano di emergenza ed evacuazione. · Effettuare gli interventi di propria competenza in modo corretto e in condizioni di sicurezza. L’operatore deve leggere attentamente il manuale di uso e manutenzione per ricavare tutte le informazioni necessarie. In particolare l’operatore deve: · Conoscere la posizione, la funzione e l’uso di tutti i comandi · Conoscere la posizione, la funzione e l’uso di"
44149 - VS 22 LOW IT-EN 1.pdf,19,general_information,0.2,tutti i dispositivi di sicurezza · Conoscere le funzioni e le caratteristiche della macchina · Conoscere e saper eseguire le procedure e le misure di sicurezza necessarie per ridurre i rischi durante l'interazione uomo-macchina. · Conoscere e saper eseguire le procedure per utilizzare la macchina in modo corretto e in condizioni di sicurezza. Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,20,general_information,0.2,"SICUREZZA 20 Rev.: 1 Istruzioni originali in lingua italiana 2.6 Dispositivi di protezione individuali (DPI) · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. · Non indossare indumenti o accessori (bracciali, orologi ecc.) che possano impigliarsi in parti o organi in movimento. · Riporre e conservare i dispositivi di protezione individuale in modo adeguato. · Segnalare eventuali anomalie e/o problemi sullo stato di conservazione e sull’efficienza dei dispositivi di protezione. AVVERTENZA Utilizzare soltanto dispositivi di protezione individuale conformi, integri ed efficienti. DPI DESCRIZIONE Obbligo utilizzo guanti. Utilizzare dispositivi conformi per proteggere gli arti superiori contro: · Rischi meccanici (perforazione, taglio ecc.) · Rischio di contatto con agenti fisici (radiazioni, calore ecc.) · Rischio di contatto con sostanze pericolose (lubrificanti, acidi ecc.) Obbligo utilizzo calzature antifortunistiche. · Utilizzare dispositivi conformi per"
44149 - VS 22 LOW IT-EN 1.pdf,20,general_information,0.2,"proteggere gli arti inferiori contro: · Rischi meccanici (perforazione, taglio ecc.) · Rischio di contatto con agenti fisici (radiazioni, calore ecc.) · Rischio di contatto con sostanze pericolose (lubrificanti, acidi ecc.) Obbligo utilizzo indumenti protettivi. Utilizzare dispositivi conformi per proteggere il corpo contro: · Rischio di impigliamento · Rischio di contatto con agenti fisici (calore, cariche elettrostatiche ecc.) · Rischio di contatto con sostanze pericolose (lubrificanti, acidi ecc.) Obbligo utilizzo occhiali di protezione. Utilizzare dispositivi conformi per proteggere gli occhi contro: · Rischi meccanici (polvere, schegge ecc.) · Rischio di contatto con agenti fisici (freddo, calore ecc.) · Rischio di contatto con sostanze pericolose (vapori, fumi ecc.) Obbligo utilizzo protezioni acustiche. Utilizzare dispositivi conformi per proteggere l'udito contro: · Rischio di esposizione al rumore Obbligo utilizzo protezioni delle vie respiratorie. Utilizzare dispositivi conformi per proteggere le vie respiratorie contro: ·"
44149 - VS 22 LOW IT-EN 1.pdf,20,general_information,0.2,"Rischio di inalazione di sostanze pericolose (vapori organici, particolato ecc.) Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,21,general_information,0.2,SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 21 2.7 Pittogrammi di sicurezza sulla macchina AVVERTENZA Non rimuovere e/o manomettere le targhette di sicurezza. Rispettare le avvertenze riportate sulle targhette di sicurezza applicate sulla macchina. Mantenere le targhette di sicurezza pulite e perfettamente leggibili. Sostituire le targhette deteriorate e riposizionarle nello stesso punto di origine. Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,22,general_information,0.2,SICUREZZA 22 Rev.: 1 Istruzioni originali in lingua italiana RIF . PITTOGRAMMA DESCRIZIONE 1 Pericolo di folgorazione 2 Pericolo legato all’utilizzo della macchina Il Costruttore ha adottato soluzioni progettuali e sistemi di protezione integrati per minimizzare i rischi durante l'interazione uomo-macchina. Tuttavia possono permanere dei rischi residui legati alla normale interazione uomo-macchina. Leggere il manuale di uso e manutenzione prima di interagire con la macchina. PERICOLO È possibile avviare la macchina da remoto. Verificare sempre l’assenza di persone nelle zone operative prima di avviare la macchina. 3 Pericolo superficie calda Attendere il raffreddamento della macchina e di tutti i componenti che presentano il rischio di scottatura prima di eseguire qualsiasi intervento. 4 Pericolo cinghie di trasmissione Arrestare sempre il funzionamento prima di aprire i ripari. 5 I gas di scarico contengono monossido di carbonio e altre sostanze dannose. Non utilizzare
44149 - VS 22 LOW IT-EN 1.pdf,22,general_information,0.2,"la macchina in ambienti chiusi e/o non sufficientemente areati. In caso di installazione e utilizzo della macchina in ambiente chiusi, verificare la presenza di una buona ventilazione (naturale o forzata). 6 Posizione interruttore generale della macchina. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,23,general_information,0.2,SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 23 RIF . PITTOGRAMMA DESCRIZIONE 7 Posizione asta di controllo livello olio lubrificante motore. 8 Posizione collegamento messa a terra. 9 Posizione dei punti di sollevamento Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,24,general_information,0.2,"SICUREZZA 24 Rev.: 1 Istruzioni originali in lingua italiana 2.8 Rischi residui Il Costruttore ha adottato soluzioni progettuali e sistemi di protezione integrati per minimizzare i rischi durante l'interazione uomo-macchina. Tuttavia possono permanere dei rischi residui legati alla normale interazione uomo-macchina. AVVERTENZA Leggere attentamente il manuale di uso e manutenzione prima di utilizzare e/o effettuare qualsiasi intervento sulla macchina. Il rispetto delle indicazioni fornite garantisce la sicurezza dell'uomo, della macchina e dell'ambiente. Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. RISCHIO DI URTO E/O TRASCINAMENTO PER PARTI MOBILI PARTI ROTANTI · Utilizzare la macchina soltanto con le protezioni e i dispositivi di sicurezza integri, correttamente installati ed efficienti. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. RISCHIO DI AVVIAMENTO"
44149 - VS 22 LOW IT-EN 1.pdf,24,general_information,0.2,"ACCIDENTALE AVVIAMENTO ACCIDENTALE È possibile avviare la macchina da remoto. · Verificare sempre l’assenza di persone nelle zone operative prima di avviare la macchina. · Arrestare sempre il funzionamento e isolare la macchina dalle fonti di alimentazione prima di effettuare qualsiasi intervento (riparazione, manutenzione ecc.). Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,25,general_information,0.2,"SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 25 RISCHIO DI INALAZIONE GAS DI SCARICO MONOSSIDO DI CARBONIO Il monossido di carbonio è un gas velenoso inodore, incolore, insapore e non irritante che può essere inalato fino a raggiungere nell’organismo concentrazioni letali. Il gas si produce per combustione incompleta, in presenza di scarso contenuto di ossigeno nell’ambiente. L’inalazione del gas, anche solo per breve tempo, può provocare forte nausea, svenimenti coma o morte. · Verificare l’integrità, l’ermeticità e l’efficienza del sistema di scarico. · Utilizzare la macchina soltanto in presenza di un rilevatore di monossido di carbonio conforme e funzionante. · Non utilizzare la macchina in ambienti chiusi e/o non sufficientemente areati. · Prestare attenzione quando si utilizza la macchina con mare calmo (imbarcazione ormeggiata oppure ancorata) in quanto i gas tendono ad accumularsi. · Ormeggiare l’imbarcazione in modo da"
44149 - VS 22 LOW IT-EN 1.pdf,25,general_information,0.2,"far fuoriuscire i gas di scarico dal lato protetto dal vento quando si utilizza la macchina nei pressi della banchina. · Considerare e valutare sempre la presenza di altre persone nel raggio di emissione dei gas di scarico. · Adottare tutte le misure necessarie per evitare di dirigere i gas di scarico verso altri imbarcazioni, edifici o persone. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,26,general_information,0.2,"SICUREZZA 26 Rev.: 1 Istruzioni originali in lingua italiana RISCHIO DI USTIONE/SCOTTATURA MOTORI E SISTEMI DI SCARICO ROVENTI · Attendere il raffreddamento della macchina e di tutti i componenti che presentano il rischio di scottatura prima di eseguire qualsiasi intervento. MANUTENZIONE DEL SISTEMA DI SCARICO · Attendere il raffreddamento del motore e del sistema di scarico prima di eseguire qualsiasi intervento. LIQUIDO CALDO E VAPORE · Arrestare la macchina e attendere il suo raffreddamento prima di rimuovere il tappo del serbatoio del combustibile. · Allentare il tappo del serbatoio per scaricare la pressione residua. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. RISCHIO DI INCENDIO E/O ESPLOSIONE PREVENZIONE DA FUOCO ED ESPLOSIONE · Installare e utilizzare la macchina soltanto in ambienti con caratteristiche adeguate (ventilazione adeguata, assenza di fonti"
44149 - VS 22 LOW IT-EN 1.pdf,26,general_information,0.2,di calore ecc.). · Avviare la macchina soltanto con l’interruttore di avviamento senza carichi applicati. · Arrestare la macchina prima di effettuare il rifornimento del combustibile. · Utilizzare soltanto combustibile idoneo. · Verificare la presenza di una buona ventilazione (naturale o forzata) per evitare concentrazioni pericolose di gas o di vapori. · Non fumare e non utilizzare fiamme libere durante il rifornimento del combustibile. · Non avvicinare liquidi e/o materiali infiammabili alla macchina durante il rifornimento. · Non versare e non avvicinare liquidi e/o materiali infiammabili su superfici calde. · Pulire perfettamente le superfici e/o le zone limitrofe da eventuali perdite. · Verificare l’assenza di perdite di combustibile e olio. · Non fumare e non avvicinare fiamme libere in prossimità della batteria. · Non posizionare mai oggetti metallici tra i morsetti per controllare il livello di carica della batteria. ·
44149 - VS 22 LOW IT-EN 1.pdf,26,general_information,0.2,"Non caricare la batteria se è molto fredda, calda o danneggiata. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,27,general_information,0.2,SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 27 RISCHIO DI FUORIUSCITA DI FLUIDI AD ALTA PRESSIONE FUORIUSCITA DI COMBUSTIBILE · Evitare il contatto diretto con il combustibile. · Verificare periodicamente l’integrità e l’efficienza di tutte le tubazioni. · In caso di contatto e/o perforazione da fuoriuscita di combustibile ad alta pressione adottare le misure di emergenza previste. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. SPORCIZIA IN USCITA DALLA PRESA D'ARIA · Evitare il contatto diretto con la polvere e i frammenti in uscita dalla presa dell’aria. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. RISCHIO DI FOLGORAZIONE ROTORE MOBILE · Utilizzare la macchina soltanto con le protezioni e i dispositivi di sicurezza elettrici integri e chiusi
44149 - VS 22 LOW IT-EN 1.pdf,27,general_information,0.2,"correttamente. ATTREZZATURA DI MESSA A TERRA ELETTRICA · Verificare la conformità dell’impianto elettrico e di tutte le connessioni elettriche (messa a terra, interruttore di commutazione ecc.). · Affidare l’esecuzione degli interventi sull’impianto e sui componenti elettrici soltanto a tecnici qualificati e autorizzati. · Isolare la macchina dalle fonti di alimentazione prima di effettuare qualsiasi intervento. DISCONNESSIONE DEL CARICO ELETTRICO · Disconnettere la macchina dal carico elettrico. Una tensione elevata trasferita al carico potrebbe provocare seri danni alle persone e alla macchina. · Non utilizzare l'interruttore di sicurezza del circuito al posto dell'interruttore automatico della linea. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,28,general_information,0.2,"SICUREZZA 28 Rev.: 1 Istruzioni originali in lingua italiana RISCHIO BATTERIA CORTO CIRCUITI DELLA BATTERIA · Disconnettere sempre la batteria prima di eseguire qualsiasi tipo di intervento. Rimuovere prima sempre il morsetto del polo negativo (-). Al termine degli interventi, ricollegare prima sempre il morsetto del polo positivo (+). · Utilizzare soltanto utensili e strumenti conformi e specifici. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. ADEGUATA VENTILAZIONE NELLA ZONA BATTERIA · Non fumare e non avvicinare fiamme libere in prossimità della batteria. · Verificare la presenza di una buona ventilazione (naturale o forzata) per evitare concentrazioni pericolose di gas o di vapori. RISCHIO DI IRRITAZIONE E LESIONE LIQUIDO ELETTROLITA DELLA BATTERIA L'elettrolita della batteria è un acido molto corrosivo che può causare gravi lesioni personali. · Evitare il"
44149 - VS 22 LOW IT-EN 1.pdf,28,general_information,0.2,"contatto con il liquido elettrolita della batteria. · Non capovolgere o inclinare la batteria per evitare il rischio di fuoriuscita dell'elettrolita. · Indossare i dispositivi di protezione individuale previsti dalle leggi vigenti in materia di sicurezza sui posti di lavoro. · In caso di contatto con i liquidi della batteria, adottare le misure di emergenza previste. CONTATTO CON I LIQUIDI LUBRIFICANTI · Evitare il contatto con gli oli e i liquidi lubrificanti. · Rispettare le modalità d’uso e le prescrizioni riportate nella documentazione specifica dei prodotti. · In caso di contatto con gli oli e i liquidi lubrificanti, adottare le misure previste. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,29,general_information,0.2,SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 29 RISCHIO DI ESPOSIZIONE AL RUMORE RISCHIO DOVUTO AL RUMORE La macchina non è fonte di particolare disturbo acustico (pressione sonora inferiore a 80 dB(A)). Si possono verificare fenomeni di rumorosità con valori superiori a 80 dB(A) in caso di: · Utilizzo della macchina in ambienti con altre fonti di rumore · Esposizione per un periodo di tempo prolungato al rumore prodotto dalla macchina con carter aperti AVVERTENZA In caso di esposizione a fenomeni di rumorosità con valori superiori a 80 dB(A) indossare sempre gli appositi dispositivi di protezione individuale (cuffie). Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,30,general_information,0.2,"SICUREZZA 30 Rev.: 1 Istruzioni originali in lingua italiana 2.9 Dispositivi di sicurezza PERICOLO Non rimuovere, manomettere o bypassare per alcun motivo i dispositivi e le protezioni di sicurezza. Non utilizzare la macchina con i dispositivi e le protezioni di sicurezza non perfettamente installati ed efficienti. PERICOLO L’accesso alle parti interne della macchina (con conseguente rimozione dei ripari di protezione) è riservato soltanto al personale tecnico del Costruttore oppure al personale dei Centri di Assistenza Autorizzati. 1. Pulsante di arresto di emergenza : serve per arrestare immediatamente le funzioni della macchina in caso di pericolo. 2. Interruttore magnetotermico generale AC : protegge la macchina in caso di cortocircuiti e sovraccarichi elettrici sulla linea AC (corrente alternata). In caso di cortocircuito o quando la corrente erogata supera il valore nominale, l’interruttore magnetotermico interviene e interrompe l’erogazione della corrente elettrica. 3. Interruttore"
44149 - VS 22 LOW IT-EN 1.pdf,30,general_information,0.2,"termico DC : protegge la macchina in caso di sovraccarichi elettrici sulla linea DC (corrente continua). Quando la corrente erogata supera il valore nominale, l’interruttore termico interviene e interrompe l’erogazione della corrente elettrica. 4. Portelli di ispezione : sono di tipo apribile e servono per accedere alle parti interne della macchina. Ogni portello (4) è dotato di un’apposita maniglia di apertura (5). Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,31,general_information,0.2,"SICUREZZA Istruzioni originali in lingua italiana Cod.: 44149 31 2.10 Situazioni di emergenza · Prevedere e pianificare un piano di sicurezza ed evacuazione per la gestione delle emergenze. · Addestrare e informare tutto il personale sulle misure di sicurezza e sulle procedure/comportamenti da adottare in caso di pericolo. INCENDIO Arrestare la macchina. · Informare immediatamente il responsabile della sicurezza. · Seguire le disposizioni e le procedure previste nel piano di emergenza ed evacuazione. FUORIUSCITE DI FLUIDI E/O MATERIALI · Arrestare o contenere la fuoriuscita del fluido/materiale alla fonte (se le condizioni di sicurezza lo consentono). · Evitare il contatto diretto con il fluido/materiale. · Eliminare tutte le fonti di accensione (es. elettricità, scintille ecc.) se le condizioni di sicurezza lo consentono. · Utilizzare materiale assorbente idoneo (sabbia, terra ecc.) per assorbire il fluido/materiale fuoriuscito. · Utilizzare dispositivi con caratteristiche adeguate"
44149 - VS 22 LOW IT-EN 1.pdf,31,general_information,0.2,"per aspirare il materiale assorbente utilizzato. · Utilizzare contenitori adeguati per contenere il materiale assorbente utilizzato. · Smaltire il materiale assorbente utilizzato nel rispetto delle leggi vigenti. INGESTIONE · Chiamare i soccorsi. · Mostrare l'etichetta o la confezione del prodotto. · Comunicare la quantità di sostanza ingerita e il tempo trascorso dall'ingestione. · Non effettuare interventi fai-da-te (es. induzione del vomito, somministrazione di liquidi ecc.) per non compromettere e/o peggiorare la situazione. INALAZIONE DI VAPORI · Allontanarsi immediatamente dall'area e raggiungere un luogo ben ventilato. · Chiamare i soccorsi. ASPIRAZIONE (INALAZIONE DI LIQUIDO) Il vomito provocato dall’ingestione di combustibile può comportare il rischio di aspirazione nei polmoni con conseguente forte irritazione locale. · Chiamare i soccorsi. CONTATTO CON GLI OCCHI Rimuovere eventuali lenti a contatto (se possibile). · Lavare con abbondante acqua pulita per qualche minuto. · Cercare di mantenere"
44149 - VS 22 LOW IT-EN 1.pdf,31,general_information,0.2,le palpebre aperte durante il lavaggio. · Chiamare i soccorsi. Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,32,general_information,0.2,"SICUREZZA 32 Rev.: 1 Istruzioni originali in lingua italiana CONTATTO CON PELLE · Lavare con abbondante acqua pulita per qualche minuto. · Rimuovere gli indumenti contaminati (se possibile). · Chiamare i soccorsi. AVVERTENZA In caso di proiezione di fluidi ad alta pressione e di conseguente contatto, chiamare immediatamente i soccorsi. Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,33,general_information,0.2,"DESCRIZIONE E INFORMAZIONI TECNICHE Istruzioni originali in lingua italiana Cod.: 44149 33 3 DESCRIZIONE E INFORMAZIONI TECNICHE 3.1 Identificazione della macchina e marcatura CE Ogni macchina è dotata di targhetta identificativa con i riferimenti e le indicazioni indispensabili per la messa in esercizio. La targhetta identificativa è normalmente applicata sul quadro di comando e controllo della macchina. Per conoscere la posizione della targhetta identificativa, vedi 3.3.1 - Componenti principali . AVVERTENZA Non rimuovere e/o manomettere la targhetta identificativa. In caso di targhetta deteriorata e/o non più leggibile contattare il Servizio Assistenza del Costruttore. La figura rappresenta un esempio di targhetta identificativa. 1. Nome macchina 2. Codice macchina 3. Numero di serie 4. Potenza continua 5. Frequenza dichiarata 6. Fattore di potenza Il presente manuale è di proprietà di MASE GENERATORS S.P .A."
44149 - VS 22 LOW IT-EN 1.pdf,34,general_information,0.2,DESCRIZIONE E INFORMAZIONI TECNICHE 34 Rev.: 1 Istruzioni originali in lingua italiana 7. T ensione nominale 8. Corrente nominale 9. Grado di protezione 10. Classe d’isolamento 11. T emperatura massima di utilizzo 12. Altitudine massima di utilizzo 13. Classe di prestazione 14. Anno di costruzione 15. Costruttore - Indirizzo 16. Peso 17. Massa 18. Marcatura CE AVVISO La posizione della targhetta d’identificazione sulla macchina è indicata nel paragrafo relativo ai componenti principali. Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,35,general_information,0.2,DESCRIZIONE E INFORMAZIONI TECNICHE Istruzioni originali in lingua italiana Cod.: 44149 35 3.2 Orientamento macchina L’orientamento della macchina è definito in funzione della posizione del quadro di comando e controllo (zona frontale). La figura rappresenta la macchina con l’indicazione delle varie viste. 1. DESTRA 2. SINISTRA 3. FRONTE 4. RETRO Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,36,general_information,0.2,"DESCRIZIONE E INFORMAZIONI TECNICHE 36 Rev.: 1 Istruzioni originali in lingua italiana 3.3 Descrizione generale Il gruppo elettrogeno è una macchina progettata e costruita per produrre energia elettrica a partire da energia termica di combustione. Il gruppo elettrogeno è costituito principalmente da un motore termico accoppiato a un generatore elettrico. Per maggiori informazioni sui componenti principali della macchina, vedi 3.3.1 - Componenti principali . Questo gruppo elettrogeno è della tipologia ""marino"". 3.3.1 Componenti principali La macchina è composta essenzialmente dai seguenti componenti: 1. Cassa insonorizzante 2. Collegamento presa acqua di mare 3. Scarico fumi e acqua di raffreddamento 4. Staffe di ancoraggio 5. Collegamento al serbatoio combustibile 6. Quadro di comando e controllo 7. Filtro combustibile (pompa combustibile) 8. Morsetto (+) di collegamento alla batteria 9. Morsetto (-) di collegamento alla batteria Il presente manuale è di proprietà di MASE"
44149 - VS 22 LOW IT-EN 1.pdf,37,electrical_wiring,1.0,DESCRIZIONE E INFORMAZIONI TECNICHE Istruzioni originali in lingua italiana Cod.: 44149 37 10. Collettore di scarico 11. T appi di carico olio lubrificante 12. Pompa manuale per estrazione olio lubrificante 13. Filtro olio lubrificante 14. Filtro combustibile (motore) 15. Prefiltro combustibile (motore) 16. Pompa combustibile 17. Pompa acqua di mare 18. Scambiatore di calore acqua/aria 19. Sonda alta temperatura motore 20. Sonda alta temperatura miscelatore gas/acqua 21. Motorino di avviamento 22. Scambiatore di calore acqua/acqua 23. Circuito chiuso 24. Filtro aria motore 25. Pressostato olio motore 26. Miscelatore di scarico 27. Inverter Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,38,general_information,0.2,DESCRIZIONE E INFORMAZIONI TECNICHE 38 Rev.: 1 Istruzioni originali in lingua italiana 3.4 Caratteristiche tecniche AVVISO I dati di potenza indicati nelle tabelle riportate di seguito si riferiscono alle seguenti condizioni: · T emperatura acqua di mare fino a 31 °C · Pressione atmosferica di 100 kPa · Percentuale di umidità del 30 % 3.4.1 Dati tecnici VS 22 LOW VS 22 LOW AC Alternatore A magneti permanenti (PMG) Raffreddamento Aria / Acqua (intercooler W/A) T ensione 230 V 240 V Frequenza 50 Hz 60 Hz Amps 95.7 A 91.7 A Potenza massima 22 kW Potenza continua 20 kW Fattore di potenza cos ø 1 Classe d'isolamento H Stabilità di tensione ±1% Stabilità di frequenza ±1% Caratteristiche alternatore Il presente manuale è di proprietà di MASE GENERATORS S.P .A.
44149 - VS 22 LOW IT-EN 1.pdf,39,fuel_system,1.0,DESCRIZIONE E INFORMAZIONI TECNICHE Istruzioni originali in lingua italiana Cod.: 44149 39 VS 22 LOW Modello Yanmar 4TNV88 Tipo Diesel 4 tempi Cilindri 4 Materiale blocco cilindri Ghisa Alesaggio 88 mm - 3.4 in Corsa 90 mm - 3.5 in Cilindrata 2190 cc - 133.6 CID Potenza 33.5 hp - 25 kWm Giri/minuto 1850 - 2200 Rapporto di compressione 19.1 : 1 Sistema di iniezione Diretta Materiale testata Ghisa Regolatore di giri Elettronico con attuatore Sistema di lubrificazione Forzata Capacità carter olio 6.7 l - 1.7 gl Capacità glicole 8.3 l - 2.2 gl Sistema di arresto motore Elettromagnete Pompa di alimentazione del combustibile Elettrica Prelievo massimo pompa combustibile 700 mm - 27.5 in Consumo combustibile a pieno carico 5.8 l/h - 1.5 gl/h Batteria d'avviamento 80 Ah - 12 V Carica batteria 40 Ah - 12 V Motorino d'avviamento
